"state_code","state","id","name","longitude","latitude","primary_category","alternate_categories","address","locality","postcode","region","country","phones","emails","websites","socials","brand","confidence","operating_status","version","source_datasets","source_licenses","source_update_times"
"IA","Iowa","006b637f-d15b-4f92-92b6-55edb1eb3f3e","Hintz Family Dentistry","-93.5982690100227","41.5952543711873","dentist","","615 E 14th St, Des Moines, IA 50316","Des Moines","50316","IA","US","","","http://www.hintzfamilydentistry.com","https://www.facebook.com/254711871278764","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","010b38fb-8df3-4872-a262-580a2d087744","Emergency Dentist Des Moines","-93.62866732","41.58750887","dentist","emergency_room | general_dentistry","801 E Grand Ave","Des Moines","50309","IA","US","+15155176761","","https://www.emergencydentistdsm.com/","https://www.facebook.com/117354507933148","","0.93349289894104","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"IA","Iowa","013412b8-125e-4de6-848c-b80ba555f6fc","Dubuque Endodontic Practice","-90.675542","42.494352","dentist","endodontist | hospital","988 W 3rd St","Dubuque","52001-6666","IA","US","+15635831050","","http://dbqrootcanal.com","https://www.facebook.com/280591128778423","","0.9199122190475464","open","6","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","0197bdbf-270e-435d-920f-253c96cd6189","Mark W. Platt","-94.0305466894003","42.0381884924589","dentist","","237 W Mulberry St","Ogden","50212","IA","US","(515) 275-2250","","http://www.ogdenfamilydental.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","023f2bdb-f89a-42f3-a901-22154de1674a","Thies Stephen R DDS","-93.720675543652","41.6139041317091","dentist","","7506 Hickman Rd","Windsor Heights","50324","IA","US","(515) 276-0202","srthis@qwestoffice.net","http://www.dentistdesmoines.com","https://www.facebook.com/158828940815476","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","0279b0cc-5a8e-41e8-8a97-a75e5bb1918f","Advanced Family Dentistry","-93.59957648","41.73947156","dentist","general_dentistry","907 N Ankeny Blvd","Ankeny","50023-4002","IA","US","+15159641490","julie@ankenysmiles.com","http://www.ankenysmiles.com/","https://www.facebook.com/121990772435","","0.9902192950248718","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","03667674-f22a-4a8b-a543-c36fdc8bb2f4","Earlham Family Dentistry","-94.12288427","41.49136009","dentist","general_dentistry | medical_service_organizations","110 S Chestnut Ave","Earlham","50072-2000","IA","US","+15157582323","earlhamfamilydental@gmail.com","http://Earlhamfamilydentistry.com/","https://www.facebook.com/1473650896295520","Earlham Family Dentistry","0.9722161889076233","","9","meta | Overture","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z"
"IA","Iowa","055b4588-a21e-48f7-8d79-10aec7f5cf5b","Ocean Dental","-93.60120746","41.60032841","dentist","general_dentistry | health_and_medical","1345 E University Ave","Des Moines","50316-2461","IA","US","+15152649022","dmoines@oceandental.net","http://www.oceandental.net/","https://www.facebook.com/346688805352854","Ocean Dental Centre","0.9902192950248718","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","055dd9ef-85fa-4d3b-a128-3adc11fc24dd","Lifetime Dental Solutions","-92.61482223","41.29731965","dentist","general_dentistry | doctor","2335 Highway 92","Oskaloosa","52577-9626","IA","US","+16416738455","frontdesk@lifetimedentalsolutions.com","http://www.lifetimedentalsolutions.com","https://www.facebook.com/845868432105623","Lifetime Dental Solutions","0.9199122190475464","open","9","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","059b0308-6774-482d-88cc-285902448f48","Jones Family Dentistry","-91.4827863","41.66820329","dentist","health_and_medical | medical_service_organizations","537 Westbury Dr","Iowa City","52245-2729","IA","US","+13193389219","iowacitydentist@gmail.com","https://www.iowacitydentist.com","https://www.facebook.com/1723145941238907","","0.9199122190475464","open","7","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","0610c351-07c0-44e0-bada-94ec16316c75","Greenwald Lacey N DDS","-91.3896545207005","40.407128339893","dentist","","307 N 17th St","Keokuk","52632","IA","US","(319) 524-2728","ghschleierdds@yahoo.com","https://www.drlgreenwald.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","0759a2ca-e192-430d-932c-19c91bfee922","Emergency Dental Care USA","-93.69591405","41.61449226","dentist","general_dentistry | health_and_medical","5706 Hickman Rd","Des Moines","50310-1121","IA","US","+15153187248","desmoines@emergencydental.com","https://www.emergencydental.com/desmoines","https://www.facebook.com/247670148629554","Emergency Dental Care USA Tacoma","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","077fa6a5-1804-4513-bc8f-dc3bbac7f782","Aspen Dental","-93.2405812","43.1478276","dentist","","4th Street","Mason-City","50401","IA","US","(641) 666-2026","","http://www.aspendental.com","","","0.77","","5","Foursquare | Overture","Apache-2.0 | CDLA-Permissive-2.0","2025-05-29T00:00:00.000 | 2026-06-11T11:57:15Z"
"IA","Iowa","07b42378-f635-4aed-8758-dce82b448a4c","Philip Nels Andersen","-91.77314440708","42.1800366486396","dentist","","907 Bank Ct","Center Point","52213","IA","US","(319) 849-1171","","http://centerpointfamilydentistry.com","","","0.9199122190475464","open","4","Foursquare | Overture | Overture-signals","Apache-2.0 | CDLA-Permissive-2.0","2025-08-22T00:00:00.000 | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","07cf1be4-d823-4813-811e-47fbc99e1d91","Pothitakis Mark DDS","-91.17326637","40.80930213","dentist","hospital | health_and_medical","1223 S Gear Ave","West Burlington","52655-1607","IA","US","+13197532515","","http://www.drmarkdds.com","https://www.facebook.com/160798744042845","Dr. Mark C. Pothitakis and Associates","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
"IA","Iowa","081704ac-2f22-47f4-abfd-e6eea8f424c2","Dr. Terry Babor","-92.06488497","41.79484438","dentist","general_dentistry","599 Eastern Ave","Marengo","52301-1705","IA","US","+13196427341","dr.babordds@gmail.com","","https://www.facebook.com/420050718034000","","0.9199122190475464","open","8","meta | Overture | Overture-signals","CDLA-Permissive-2.0","2026-04-27T00:00:00.000Z | 2026-06-11T11:57:15Z | 2026-05-12T00:29:08Z | 2026-05-18T13:23:54Z | 2026-05-25T13:08:59Z | 2026-06-01T13:20:32Z | 2026-06-08T13:20:12Z"
